cell,n,successes,success_mean,performance_score_mean,steps_mean,pink_lift_max_mean,pink_final_displacement_mean,min_tcp_pink_distance_mean,success_sd,performance_score_sd,steps_sd,pink_lift_max_sd,pink_final_displacement_sd,min_tcp_pink_distance_sd
S8_P8,5,4,0.8,0.4708333333333333,127.8,0.025485462160193963,0.03579434166896696,0.04568276275679141,0.4472135954999579,0.2842356954282054,67.80265481527991,0.014313980427866977,0.022026095644811512,0.021806883820543323
S8_P12,5,2,0.4,0.26833333333333337,176.0,0.012523775180925113,0.022702571328675286,0.0572454939300386,0.5477225575051661,0.3676195006011273,87.68124086713189,0.01715203248920183,0.02204525614274421,0.02647815604456719
S12_P8,5,4,0.8,0.4133333333333334,141.6,0.02577050659398743,0.04809750041602172,0.038083887692622206,0.4472135954999579,0.34454327659155454,82.3911403003988,0.013316321392852869,0.015544367431237148,0.00990143142431518
S12_P12,5,3,0.6,0.35750000000000004,154.8,0.024407293535116326,0.09467345866822348,0.042490856304142094,0.5477225575051661,0.33162845257238643,79.05188169803424,0.013699058327884319,0.08565628606127822,0.007707592279998921
