observation_id,replicate,trial_seed,state,age,condition,first_action_delta_rms,first_action_delta_ee6_rms,first_action_delta_gripper_abs,gripper_sign_changed
rep_01_S12_age_08,1,42001,S12,8,fresh_hidden_fresh_ref,0.11700581558583908,0.1262665722140573,0.013154566287994385,0
rep_01_S12_age_09,1,42001,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S12_age_09,1,42001,S12,9,fresh_hidden_empty_ref,0.08171675252152018,0.08815266090184617,0.010864794254302979,0
rep_01_S12_age_09,1,42001,S12,9,stale_hidden_fresh_ref,0.13183405275073876,0.14229559655734922,0.013164401054382324,0
rep_01_S12_age_09,1,42001,S12,9,fresh_hidden_fresh_ref,0.1289114891072751,0.1391365652347033,0.013164401054382324,0
rep_01_S12_age_10,1,42001,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S12_age_10,1,42001,S12,10,fresh_hidden_empty_ref,0.7495223303807823,0.11321777693642446,1.9635621905326843,1
rep_01_S12_age_10,1,42001,S12,10,stale_hidden_fresh_ref,0.1262471731709947,0.13626447667129685,0.012664735317230225,0
rep_01_S12_age_10,1,42001,S12,10,fresh_hidden_fresh_ref,0.12177773172868343,0.13142555811051615,0.013139545917510986,0
rep_01_S12_age_11,1,42001,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S12_age_11,1,42001,S12,11,fresh_hidden_empty_ref,0.7551848406054155,0.15395682762565518,1.962119460105896,1
rep_01_S12_age_11,1,42001,S12,11,stale_hidden_fresh_ref,0.09645034407331168,0.10404290729890747,0.013004720211029053,0
rep_01_S12_age_11,1,42001,S12,11,fresh_hidden_fresh_ref,0.08690496249266771,0.09371501120237863,0.013125836849212646,0
rep_02_S8_age_08,2,42002,S8,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S8_age_08,2,42002,S8,8,fresh_hidden_empty_ref,0.09122010983385925,0.09848156506384995,0.007486462593078613,0
rep_02_S8_age_08,2,42002,S8,8,stale_hidden_fresh_ref,0.7636317266520685,0.15601313495484545,1.9839085936546326,1
rep_02_S8_age_08,2,42002,S8,8,fresh_hidden_fresh_ref,0.7627475080057204,0.15088241492735027,1.9839085936546326,1
rep_02_S8_age_09,2,42002,S8,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S8_age_09,2,42002,S8,9,fresh_hidden_empty_ref,0.11274438938044834,0.1217298675188033,0.008373618125915527,0
rep_02_S8_age_09,2,42002,S8,9,stale_hidden_fresh_ref,0.14914115615527768,0.16098323814266555,0.014421284198760986,0
rep_02_S8_age_09,2,42002,S8,9,fresh_hidden_fresh_ref,0.15883327192707816,0.1714703049330811,0.013552308082580566,0
rep_02_S8_age_10,2,42002,S8,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S8_age_10,2,42002,S8,10,fresh_hidden_empty_ref,0.15692222180477036,0.16928354618433875,0.020750224590301514,0
rep_02_S8_age_10,2,42002,S8,10,stale_hidden_fresh_ref,0.1073391360290228,0.11576207809051159,0.015706002712249756,0
rep_02_S8_age_10,2,42002,S8,10,fresh_hidden_fresh_ref,0.11208311174026596,0.12091729914133827,0.014574229717254639,0
rep_02_S8_age_11,2,42002,S8,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S8_age_11,2,42002,S8,11,fresh_hidden_empty_ref,0.1804769845366852,0.19462681803439172,0.026944458484649658,0
rep_02_S8_age_11,2,42002,S8,11,stale_hidden_fresh_ref,0.1587917041565244,0.1714100482471693,0.014670014381408691,0
rep_02_S8_age_11,2,42002,S8,11,fresh_hidden_fresh_ref,0.18166171013067636,0.1961412800223543,0.013357698917388916,0
rep_02_S12_age_08,2,42002,S12,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S12_age_08,2,42002,S12,8,fresh_hidden_empty_ref,0.7488377181787291,0.09859836318501543,1.9664627313613892,1
rep_02_S12_age_08,2,42002,S12,8,stale_hidden_fresh_ref,0.11998182045831644,0.1294855968656294,0.013051509857177734,0
rep_02_S12_age_08,2,42002,S12,8,fresh_hidden_fresh_ref,0.1167033511493173,0.12593939861817074,0.013164818286895752,0
rep_02_S12_age_09,2,42002,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S12_age_09,2,42002,S12,9,fresh_hidden_empty_ref,0.7504073896904503,0.10721995014271174,1.9679436087608337,1
rep_02_S12_age_09,2,42002,S12,9,stale_hidden_fresh_ref,0.12101079893899003,0.13059637695683382,0.013145804405212402,0
rep_02_S12_age_09,2,42002,S12,9,fresh_hidden_fresh_ref,0.1179096593092884,0.12724386176129618,0.013145804405212402,0
rep_02_S12_age_10,2,42002,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S12_age_10,2,42002,S12,10,fresh_hidden_empty_ref,0.7487930132440449,0.07781008358127424,1.9719306230545044,1
rep_02_S12_age_10,2,42002,S12,10,stale_hidden_fresh_ref,0.14330597904577594,0.15470253414096588,0.012608766555786133,0
rep_02_S12_age_10,2,42002,S12,10,fresh_hidden_fresh_ref,0.1370751643261122,0.14796128009304127,0.013113439083099365,0
rep_02_S12_age_11,2,42002,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_02_S12_age_11,2,42002,S12,11,fresh_hidden_empty_ref,0.7472347553473507,0.08065100744526393,1.9671021699905396,1
