observation_id,replicate,trial_seed,state,age,effect,effect_rms,effect_ee6_rms,effect_gripper_abs
rep_00_S8_age_08,0,42000,S8,8,hidden_effect_at_empty_ref,0.7496582168984762,0.10150968885858455,1.9677618741989136
rep_00_S8_age_08,0,42000,S8,8,hidden_effect_at_fresh_ref,0.006724161080484428,0.007262924062824268,0.0
rep_00_S8_age_08,0,42000,S8,8,ref_effect_at_stale_hidden,0.7670479296477009,0.17447147577611108,1.983909249305725
rep_00_S8_age_08,0,42000,S8,8,ref_effect_at_fresh_hidden,0.15663643545957884,0.16905821121314968,0.016147375106811523
rep_00_S8_age_08,0,42000,S8,8,hidden_ref_interaction,0.7494601866045926,0.09978911562800309,1.9677618741989136
rep_00_S8_age_09,0,42000,S8,9,hidden_effect_at_empty_ref,0.14540278074443805,0.15673710091163598,0.024385809898376465
rep_00_S8_age_09,0,42000,S8,9,hidden_effect_at_fresh_ref,0.02136299171287713,0.023074636113106336,9.441375732421875e-05
rep_00_S8_age_09,0,42000,S8,9,ref_effect_at_stale_hidden,0.11826938278252576,0.12760762504858117,0.014535903930664062
rep_00_S8_age_09,0,42000,S8,9,ref_effect_at_fresh_hidden,0.2519016123295028,0.2716227153082509,0.03882730007171631
rep_00_S8_age_09,0,42000,S8,9,hidden_ref_interaction,0.14850145266110526,0.1600930449096857,0.024291396141052246
rep_00_S8_age_10,0,42000,S8,10,hidden_effect_at_empty_ref,0.14912769490245134,0.16076165506300558,0.024650096893310547
rep_00_S8_age_10,0,42000,S8,10,hidden_effect_at_fresh_ref,0.01912049019640309,0.02065159876704891,0.0004699230194091797
rep_00_S8_age_10,0,42000,S8,10,ref_effect_at_stale_hidden,0.10350257883320663,0.11162135591777601,0.015281498432159424
rep_00_S8_age_10,0,42000,S8,10,ref_effect_at_fresh_hidden,0.2536858835802632,0.27353807447169676,0.03946167230606079
rep_00_S8_age_10,0,42000,S8,10,hidden_ref_interaction,0.1614199098352231,0.17407375363616653,0.024180173873901367
rep_00_S8_age_11,0,42000,S8,11,hidden_effect_at_empty_ref,0.146237342822178,0.15775581362045585,0.019394397735595703
rep_00_S8_age_11,0,42000,S8,11,hidden_effect_at_fresh_ref,0.0294627083020253,0.03182235413605857,0.000620424747467041
rep_00_S8_age_11,0,42000,S8,11,ref_effect_at_stale_hidden,0.09505807488002466,0.1024697756399074,0.015872418880462646
rep_00_S8_age_11,0,42000,S8,11,ref_effect_at_fresh_hidden,0.23054733544123365,0.2486175592765781,0.03464639186859131
rep_00_S8_age_11,0,42000,S8,11,hidden_ref_interaction,0.1682142147821227,0.18153038878821537,0.018773972988128662
rep_00_S12_age_08,0,42000,S12,8,hidden_effect_at_empty_ref,0.7491271474915997,0.0965095782528202,1.9678556323051453
rep_00_S12_age_08,0,42000,S12,8,hidden_effect_at_fresh_ref,0.015749129046301064,0.017010945375139343,0.00010901689529418945
rep_00_S12_age_08,0,42000,S12,8,ref_effect_at_stale_hidden,0.12142903388500757,0.13105006520095994,0.013051986694335938
rep_00_S12_age_08,0,42000,S12,8,ref_effect_at_fresh_hidden,0.7700675371974356,0.19433698019394632,1.9810166358947754
